Date,BTC-USD_BnH,BTC-USD_Strategy,BTC-USD_Position
2021-03-23,0.0038474981233158623,0.0028439015870670827,0.0
2021-03-24,-0.035891807492523076,0.0,0.0
2021-03-25,-0.020277031922222966,0.0,0.0
2021-03-26,0.06639992475218648,0.0,0.0
2021-03-27,0.015165759461888806,-0.0009992504996875911,1.0
2021-03-28,-0.0004067213991215679,-0.00040672139912157837,1.0
2021-03-29,0.03216137854506651,0.03216137854506666,1.0
2021-03-30,0.020216245195582738,0.020216245195582613,1.0
2021-03-31,1.9359634988669328e-05,1.9359634988756657e-05,1.0
2021-04-01,0.0030037350775407035,0.0030037350775406844,1.0
2021-04-02,0.004881969011259368,0.004881969011259338,1.0
2021-04-03,-0.029981350293480258,-0.02998135029348025,1.0
2021-04-04,0.0200448971410081,0.02004489714100794,1.0
2021-04-05,0.005094138552963257,0.005094138552963474,1.0
2021-04-06,-0.014655445594718208,-0.014655445594718139,1.0
2021-04-07,-0.036833390122360865,-0.03683339012236094,1.0
2021-04-08,0.04058980823677527,0.03954947857599054,0.0
2021-04-09,-0.0013536328475677317,-0.000999250499687347,1.0
2021-04-10,0.026581343719059625,0.02658134371905955,1.0
2021-04-11,0.006885903949730876,0.006885903949730986,1.0
2021-04-12,-0.005174186540237491,-0.005174186540237442,1.0
2021-04-13,0.06027376479221824,0.060273764792218215,1.0
2021-04-14,-0.00620063437737306,-0.006200634377372951,1.0
2021-04-15,0.003237480473297971,0.0032374804732979478,1.0
2021-04-16,-0.027501379378466195,-0.02750137937846622,1.0
2021-04-17,-0.014437688523377457,-0.014437688523377516,1.0
2021-04-18,-0.0736215468265391,-0.0736215468265391,1.0
2021-04-19,-0.008750468945115109,-0.009741470663787144,0.0
2021-04-20,0.013436976092944253,0.0,0.0
