Date,UPRO_BnH,UPRO_Strategy,UPRO_Position
2018-12-11,-0.0002425263898176988,0.0,0.0
2018-12-12,0.015768720376565515,0.0,0.0
2018-12-13,-0.0011940967381145473,0.0,0.0
2018-12-14,-0.05595398909167959,0.0,0.0
2018-12-17,-0.06053699129617751,0.0,0.0
2018-12-18,-0.0018870731006522812,0.0,0.0
2018-12-19,-0.04592133517346908,0.0,0.0
2018-12-20,-0.04898041494009564,0.0,0.0
2018-12-21,-0.0628164769339361,0.0,0.0
2018-12-24,-0.07878012319125527,0.0,0.0
2018-12-26,0.14721746801129787,0.0,0.0
2018-12-27,0.026545709878572188,0.0,0.0
2018-12-28,-0.004701597808354996,0.0,0.0
2018-12-31,0.026867634200463675,0.0,0.0
2019-01-02,0.002012312101692837,0.0,0.0
2019-01-03,-0.07460515795114875,0.0,0.0
2019-01-04,0.10170517908545706,0.0,0.0
2019-01-07,0.02279797954470597,0.0,0.0
2019-01-08,0.02779276539851616,0.0,0.0
2019-01-09,0.013922459758632044,0.0,0.0
2019-01-10,0.012147110136175643,0.0,0.0
2019-01-11,-0.0007827383983004532,0.0,0.0
2019-01-14,-0.016971504465781884,0.0,0.0
2019-01-15,0.03373161203929631,0.0,0.0
2019-01-16,0.0059096495843546926,0.0,0.0
2019-01-17,0.022988691066886835,-0.0009992504996875213,1.0
2019-01-18,0.03920106604858886,0.03920106604858884,1.0
2019-01-22,-0.0398848076396624,-0.03988480763966241,1.0
2019-01-23,0.004754797036349734,0.0047547970363497815,1.0
2019-01-24,0.0027396769581167213,0.002739676958116805,1.0
2019-01-25,0.02434165037314351,0.024341650373143495,1.0
2019-01-28,-0.022065828209626548,-0.02206582820962644,1.0
2019-01-29,-0.004463135055203793,-0.004463135055203844,1.0
2019-01-30,0.04707360829604501,0.047073608296045184,1.0
2019-01-31,0.02497609088656061,0.02497609088656049,1.0
2019-02-01,0.0013923589181987772,0.0013923589181989086,1.0
2019-02-04,0.021321114745538106,0.021321114745538185,1.0
2019-02-05,0.012933628976405265,0.012933628976405409,1.0
2019-02-06,-0.004928228444705751,-0.004928228444705787,1.0
2019-02-07,-0.028815730150939967,-0.028815730150940022,1.0
2019-02-08,0.0037088391777879703,0.003708839177787969,1.0
2019-02-11,0.0016165406215224998,0.0016165406215225108,1.0
2019-02-12,0.03827535455188413,0.038275354551884154,1.0
2019-02-13,0.008882841054155488,0.008882841054155549,1.0
2019-02-14,-0.0068234042925521265,-0.0068234042925521396,1.0
2019-02-15,0.032136551412594194,0.032136551412594215,1.0
2019-02-19,0.004938705187840897,0.004938705187840769,1.0
2019-02-20,0.005982752402435398,0.005982752402435465,1.0
2019-02-21,-0.011044856997948438,-0.011044856997948483,1.0
2019-02-22,0.018900348360304076,0.018900348360304086,1.0
2019-02-25,0.004215622967347121,0.004215622967347165,1.0
