stage,indicator,rank,param_display,params,strategy,total_return,annualized_return,total_profit,max_drawdown,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,winning_streak,losing_streak,trades_per_year,macd_fast_period,macd_slow_period,macd_signal_period,aroon_timeperiod,stc_ema_short_period,stc_ema_long_period,stc_cycle_period,kama_period,kama_fast_ema_constant,kama_slow_ema_constant,supertrend_atr_length,supertrend_factor,kalman_process_noise,kalman_measurement_noise,rsi_timeperiod,adx_di_length,adx_smoothing_timeperiod,donchian_timeperiod,trix_timeperiod,vortex_timeperiod,alma_fast_length,alma_slow_length,alma_offset,alma_sigma,IS_Sharpe,IS_Return,IS_MaxDD,IS_WinRate,OOS_Sharpe,OOS_Return,OOS_MaxDD,OOS_WinRate,OOS_Trades,OOS_ProfitFactor,Sharpe_Degradation,Return_Degradation,OOS_Rank,selection_source,is_sharpe,oos_sharpe,sharpe,sortino
is,SUPERTREND,2.0,"SUPERTREND(ATR=8,Factor=2)","{'supertrend_atr_length': 8, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.23074836507049185,0.3416998385342713,23074.836507049185,-0.06978686795587818,0.16755898970310604,1.83781984087264,3.2593372945115906,,,,,,0.02764311838453525,3.0,66.66666666666666,11.106856593864809,0.07864839176020254,0.12964511772368473,0.02334506016676184,5.553428296932404,,,4.247191011235955,,,,,,,,,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,3.0,"SUPERTREND(ATR=7,Factor=2)","{'supertrend_atr_length': 7, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.2298470727106747,0.34030903365920184,22984.70727106747,-0.06978686795587896,0.18501676567146488,1.6753884053456976,2.811294605536074,,,,,,0.03356722861994923,4.0,50.0,10.768878166300944,0.05880312416671396,0.12964511772368467,0.01203886939025675,10.768878166300944,,,5.662921348314606,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,4.0,"SUPERTREND(ATR=5,Factor=2)","{'supertrend_atr_length': 5, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.2298470727106747,0.34030903365920184,22984.70727106747,-0.06978686795587896,0.18504905300090538,1.6751283954620975,2.809974388600773,,,,,,0.03357473924761453,4.0,50.0,10.768878166300944,0.05880312416671396,0.12964511772368467,0.01203886939025675,10.768878166300944,,,5.662921348314606,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,SUPERTREND,5.0,"SUPERTREND(ATR=6,Factor=2)","{'supertrend_atr_length': 6, 'supertrend_factor': 2}","SUPERTREND flip: buy when close above red line, sell when close below green line",0.2298470727106747,0.34030903365920184,22984.70727106747,-0.06978686795587896,0.18504905300090538,1.6751283954620975,2.809974388600773,,,,,,0.03357473924761453,4.0,50.0,10.768878166300944,0.05880312416671396,0.12964511772368467,0.01203886939025675,10.768878166300944,,,5.662921348314606,,,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KALMAN,1.0,"KALMAN(Q=4,R=100)","{'kalman_process_noise': 4, 'kalman_measurement_noise': 100}","Price crossing Kalman filter: buy on cross above, sell on cross below",0.113665755371282,0.16464155408493686,11366.5755371282,-0.16133693038819363,0.21130922580273284,0.8263270945917149,1.2442060281493856,,,,,,0.08863474907014726,16.0,43.75,1.6907060550773152,0.008762851803697421,0.04902778291153686,0.022554316835733255,2.1737649279565483,,,22.651685393258425,,,,,,,,,,,,,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KALMAN,2.0,"KALMAN(Q=4,R=101)","{'kalman_process_noise': 4, 'kalman_measurement_noise': 101}","Price crossing Kalman filter: buy on cross above, sell on cross below",0.113665755371282,0.16464155408493686,11366.5755371282,-0.16133693038819363,0.21130922580273284,0.8263270945917149,1.2442060281493856,,,,,,0.08863474907014726,16.0,43.75,1.6907060550773152,0.008762851803697421,0.04902778291153686,0.022554316835733255,2.1737649279565483,,,22.651685393258425,,,,,,,,,,,,,4.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KALMAN,3.0,"KALMAN(Q=4,R=102)","{'kalman_process_noise': 4, 'kalman_measurement_noise': 102}","Price crossing Kalman filter: buy on cross above, sell on cross below",0.113665755371282,0.16464155408493686,11366.5755371282,-0.16133693038819363,0.21130922580273284,0.8263270945917149,1.2442060281493856,,,,,,0.08863474907014726,16.0,43.75,1.6907060550773152,0.008762851803697421,0.04902778291153686,0.022554316835733255,2.1737649279565483,,,22.651685393258425,,,,,,,,,,,,,4.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KALMAN,4.0,"KALMAN(Q=4,R=103)","{'kalman_process_noise': 4, 'kalman_measurement_noise': 103}","Price crossing Kalman filter: buy on cross above, sell on cross below",0.113665755371282,0.16464155408493686,11366.5755371282,-0.16133693038819363,0.21130922580273284,0.8263270945917149,1.2442060281493856,,,,,,0.08863474907014726,16.0,43.75,1.6907060550773152,0.008762851803697421,0.04902778291153686,0.022554316835733255,2.1737649279565483,,,22.651685393258425,,,,,,,,,,,,,4.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,KALMAN,5.0,"KALMAN(Q=4,R=104)","{'kalman_process_noise': 4, 'kalman_measurement_noise': 104}","Price crossing Kalman filter: buy on cross above, sell on cross below",0.113665755371282,0.16464155408493686,11366.5755371282,-0.16133693038819363,0.21130922580273284,0.8263270945917149,1.2442060281493856,,,,,,0.08863474907014726,16.0,43.75,1.6907060550773152,0.008762851803697421,0.04902778291153686,0.022554316835733255,2.1737649279565483,,,22.651685393258425,,,,,,,,,,,,,4.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,RSI,1.0,RSI(41),{'rsi_timeperiod': 41},"RSI crossing 50: buy on cross above, sell on cross below",0.014493840848435647,0.020581016714031897,1449.3840848435648,-0.05749381293568179,0.11251552711657098,0.2366183500675106,0.3803736064311836,,,,,,0.013926224393616328,2.0,50.0,2.2716962396359563,0.007404496640647746,0.02645406450171115,0.01164507122041566,2.2716962396359563,,,2.831460674157303,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
